Rk,Player,Pos,Yds,Season,Team,Pass Yds,TD,Int,Rush Yds,Team Wins
1,Justin Herbert,QB,4336,2020,LAC,4336,31,10,218,6
2,C.J. Stroud,QB,4108,2023,HOU,4108,23,5,331,9
3,Mac Jones,QB,3801,2021,NWE,3801,22,13,241,10
4,Carson Wentz,QB,3782,2016,PHI,3782,16,14,213,7
5,Bo Nix,QB,3775,2024,DEN,3775,29,12,198,10
6,Baker Mayfield,QB,3725,2018,CLE,3725,27,14,173,6
7,Kyler Murray,QB,3722,2019,ARI,3722,20,12,309,5
8,Dak Prescott,QB,3667,2016,DAL,3667,23,4,143,13
9,Trevor Lawrence,QB,3641,2021,JAX,3641,12,17,238,3
10,Jayden Daniels,QB,3568,2024,WAS,3568,25,9,238,12
11,Caleb Williams,QB,3541,2024,CHI,3541,20,6,466,5
12,Gardner Minshew II,QB,3271,2019,JAX,3271,21,6,184,6
13,Cam Ward,QB,3169,2025,TEN,3169,15,7,410,3
14,Daniel Jones,QB,3027,2019,NYG,3027,24,12,295,3
15,DeShone Kizer,QB,2894,2017,CLE,2894,11,22,226,0
16,Bryce Young,QB,2877,2023,CAR,2877,11,10,477,2
17,Sam Darnold,QB,2865,2018,NYJ,2865,17,15,204,4
18,Joe Burrow,QB,2688,2020,CIN,2688,13,5,231,2
19,Davis Mills,QB,2664,2021,HOU,2664,16,10,206,2
20,Kenny Pickett,QB,2404,2022,PIT,2404,7,9,182,7
22,Zach Wilson,QB,2334,2021,NYJ,2334,9,11,370,3
23,Josh Rosen,QB,2278,2018,ARI,2278,11,14,320,3
25,Drake Maye,QB,2276,2024,NWE,2276,15,10,229,3
26,Jaxson Dart,QB,2272,2025,NYG,2272,15,5,152,4
27,Aidan O'Connell,QB,2218,2023,LVR,2218,12,7,173,5
28,Mitchell Trubisky,QB,2193,2017,CHI,2193,7,7,196,4
29,Josh Allen,QB,2074,2018,BUF,2074,10,12,213,5
31,Justin Fields,QB,1870,2021,CHI,1870,7,10,264,2
36,J.J. McCarthy,QB,1632,2025,MIN,1632,11,12,149,6
